id,day,month,year,month(no),date,location,OSGridRef,latitude ,longitude,Nation,comments
571,20,July,1170,7,20-7-1170,Vendôme,,47.7936,1.0664,France,"K. Henry is said to have met K. Louis at Vendome and it is quite supposable that on this or on some preceding day Henry was at that place, but the meeting of the 20th between Henry and Louis took place in the open country, at a spot between La Ferté (in the Pays Chartrain), and Fréteval (a castle of Touraine)."
572,22,July,1170,7,22-7-1170,Fréteval,,47.8886,1.2106,France,N/A
573,c.10,August,1170,8,c.10-8-1170,Mote-de-Ger,,,,France,"Appears as '1171' in text, is likely a print error"
574,c.29,September,1170,9,c.29-9-1170,Roque Madour,,44.8003,1.6186,France,K. Henry makes a votive journey to the shrine of St. Mary of Roque Madour (De Rupe Adamatoris) in the Quercy.  Appears to be Rocamadour.
575,c.1,October,1170,10,c.1-10-1170,Anjou,,47.473612,-0.554167,France,N/A
576,,October,1170,10,10-1170,Touraine,,47.4,0.683333,France,N/A
577,,October,1170,10,10-1170,Tours,,47.393611,0.689167,France,N/A
578,12,October,1170,10,12-10-1170,Amboise,,47.4042,0.98,France,"King Henry and Becket meet at Amboise, near Tours."
579,,October,1170,10,10-1170,Chaumont,,49.2683,1.8897,France,near Blois
580,15,October,1170,10,15-10-1170,Chaumont,,49.2683,1.8897,France,N/A
581,1,November,1170,11,1-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
582,2,November,1170,11,2-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
583,3,November,1170,11,3-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
584,4,November,1170,11,4-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
585,5,November,1170,11,5-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
586,6,November,1170,11,6-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
587,7,November,1170,11,7-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
588,8,November,1170,11,8-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
589,9,November,1170,11,9-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
590,10,November,1170,11,10-11-1170,Loches,,47.1292,0.9961,France,"King Henry was at Loches, on the borders of Touraine and Berri and about to march eastwards to Bourges, the capital of Berri."
591,23,November,1170,11,23-11-1170,Mont Luçon,,46.3408,2.6033,France,Appears as 'Mount Luzzun' as well in the text
592,,November,1170,11,11-1170,Bourges ,,47.0844,2.3964,France,N/A
593,21,December,1170,12,21-12-1170,Bayeux,,49.2794,-0.7028,France,N/A
594,25,December,1170,12,25-12-1170,Bur-le-Roi,,49.2272,-0.7736,France,near Bayeux
595,31,December,1170,12,31-12-1170,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
596,1,January,1171,1,1-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
597,2,January,1171,1,2-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
598,3,January,1171,1,3-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
599,4,January,1171,1,4-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
600,5,January,1171,1,5-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
601,6,January,1171,1,6-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
602,7,January,1171,1,7-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
603,8,January,1171,1,8-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
604,9,January,1171,1,9-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
605,10,January,1171,1,10-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
606,11,January,1171,1,11-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
607,12,January,1171,1,12-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
608,13,January,1171,1,13-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
609,14,January,1171,1,14-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
610,15,January,1171,1,15-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
611,16,January,1171,1,16-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
612,17,January,1171,1,17-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
613,18,January,1171,1,18-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
614,19,January,1171,1,19-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
615,20,January,1171,1,20-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
616,21,January,1171,1,21-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
617,22,January,1171,1,22-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
618,23,January,1171,1,23-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
619,24,January,1171,1,24-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
620,25,January,1171,1,25-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
621,26,January,1171,1,26-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
622,27,January,1171,1,27-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
623,28,January,1171,1,28-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
624,29,January,1171,1,29-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
625,30,January,1171,1,30-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
626,31,January,1171,1,31-1-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
627,1,February,1171,2,1-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
628,2,February,1171,2,2-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
629,3,February,1171,2,3-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
630,4,February,1171,2,4-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
631,5,February,1171,2,5-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
632,6,February,1171,2,6-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
633,7,February,1171,2,7-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
634,8,February,1171,2,8-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
635,9,February,1171,2,9-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
636,10,February,1171,2,10-2-1171,Argentan,,48.75,-0.02,France,The King is said to have remained at Argentan 40 days.
637,c.11,February,1171,2,c.11-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
638,12,February,1171,2,12-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
639,13,February,1171,2,13-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
640,14,February,1171,2,14-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
641,15,February,1171,2,15-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
642,16,February,1171,2,16-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
643,17,February,1171,2,17-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
644,18,February,1171,2,18-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
645,19,February,1171,2,19-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
646,20,February,1171,2,20-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
647,21,February,1171,2,21-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
648,22,February,1171,2,22-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
649,23,February,1171,2,23-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
650,24,February,1171,2,24-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
651,25,February,1171,2,25-2-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
652,,March,1171,3,3-1171,Brittany,,48,-3,France,Appears as 'Bretagne' in the text
653,,April,1171,4,4-1171,Brittany,,48,-3,France,Appears as 'Bretagne' in the text
654,2,May,1171,5,2-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
655,3,May,1171,5,3-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
656,4,May,1171,5,4-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
657,5,May,1171,5,5-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
658,6,May,1171,5,6-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
659,7,May,1171,5,7-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
660,8,May,1171,5,8-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
661,9,May,1171,5,9-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
662,10,May,1171,5,10-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
663,11,May,1171,5,11-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
664,12,May,1171,5,12-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
665,13,May,1171,5,13-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
666,14,May,1171,5,14-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
667,15,May,1171,5,15-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
668,16,May,1171,5,16-5-1171,Pont Orson,,48.5534,-1.5068,France,Appears as 'Pont-Orson' in the text
669,,,1171,,1171,Rouen,,49.442778,1.088611,France,N/A
670,,,1171,,1171,Chevaillec,,49.4072,1.0531,France,Also appears as 'Chivilli'.  A possible error.  J. H. Round identifies this as Quevilly
671,,July,1171,7,7-1171,Argentan,,48.75,-0.02,France,N/A
672,,July,1171,7,7-1171,Falaise,,48.897222,-0.1975,France,N/A
673,,July,1171,7,7-1171,Chevaillec,,49.4072,1.0531,France,N/A
674,,July,1171,7,7-1171,Bur-le-Roi,,49.2272,-0.7736,France,Appears as 'Bur le Roy' in the text
675,30,July,1171,7,30-7-1171,Valognes,,49.52,-1.47,France,N/A
676,31,July,1171,7,31-7-1171,Valognes,,49.52,-1.47,France,N/A
677,1,August,1171,8,1-8-1171,Barfleur,,49.6711,-1.2633,France,N/A
678,3,August,1171,8,3-8-1171,Portsmouth,SU6430901157,50.805833,-1.087222,England,N/A
679,8,September,1171,9,8-9-1171,Monmouth ?,SO5036712668,51.81,-2.72,Wales,Appears as 'Monmouth ?'.  K. Henry is either at Monmouth or Chepstow or Cardiff
680,,September,1171,9,9-1171,Caerleon,ST3360791173,51.615,-2.959,England,N/A
681,21,September,1171,9,21-9-1171,Pembrokeshire,SN0424420135,51.845,-4.842222,Wales,N/A
682,25,September,1171,9,25-9-1171,Pembroke Castle,SM9809501747,51.677678,-4.920694,Wales,N/A
683,27,September,1171,9,27-9-1171,St. Davids,SM7504225482,51.882,-5.269,Wales,N/A
684,29,September,1171,9,29-9-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
685,29,September,1171,9,29-9-1171,Y-Ty-Gwyn,SM7325826948,51.894444,-5.295833,Wales,"The King, having Prince Res in his company, comes to Y-Ty-Gwyn (The White House).  Likely Ty Gwyn, a former monastic community near Whitesands Bay in Pembrokeshire."
686,30,September,1171,9,30-9-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
687,1,October,1171,10,1-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
688,2,October,1171,10,2-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
689,3,October,1171,10,3-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
690,4,October,1171,10,4-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
691,5,October,1171,10,5-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
692,6,October,1171,10,6-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
693,7,October,1171,10,7-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
694,8,October,1171,10,8-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
695,9,October,1171,10,9-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
696,10,October,1171,10,10-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
697,11,October,1171,10,11-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
698,12,October,1171,10,12-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
699,13,October,1171,10,13-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
700,14,October,1171,10,14-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
701,15,October,1171,10,15-10-1171,Pembroke,SM9842601551,51.67604,-4.9158,Wales,N/A
702,16,October,1171,10,16-10-1171,Milford Haven,SM8982906149,51.71418,-5.04274,Wales,N/A
703,17,October,1171,10,17-10-1171,Croch,SL6005470562,52.228,-6.98,Republic of Ireland,near Waterford.  Now Crooke
704,18,October,1171,10,18-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
705,19,October,1171,10,19-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
706,20,October,1171,10,20-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
707,21,October,1171,10,21-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
708,22,October,1171,10,22-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
709,23,October,1171,10,23-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
710,24,October,1171,10,24-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
711,25,October,1171,10,25-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
712,26,October,1171,10,26-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
713,27,October,1171,10,27-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
714,28,October,1171,10,28-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
715,29,October,1171,10,29-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
716,30,October,1171,10,30-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
717,31,October,1171,10,31-10-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
718,1,November,1171,11,1-11-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
719,2,November,1171,11,2-11-1171,Waterford,SL5010174459,52.256667,-7.129167,Republic of Ireland,N/A
720,6,November,1171,11,6-11-1171,Cashel,SF0062807300,52.516717,-7.889428,Republic of Ireland,N/A
721,11,November,1171,11,11-11-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
722,1,December,1171,12,1-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
723,2,December,1171,12,2-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
724,3,December,1171,12,3-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
725,4,December,1171,12,4-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
726,5,December,1171,12,5-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
727,6,December,1171,12,6-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
728,7,December,1171,12,7-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
729,8,December,1171,12,8-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
730,9,December,1171,12,9-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
731,10,December,1171,12,10-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
732,11,December,1171,12,11-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
733,12,December,1171,12,12-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
734,13,December,1171,12,13-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
735,14,December,1171,12,14-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
736,15,December,1171,12,15-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
737,16,December,1171,12,16-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
738,17,December,1171,12,17-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
739,18,December,1171,12,18-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
740,19,December,1171,12,19-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
741,20,December,1171,12,20-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
742,21,December,1171,12,21-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
743,22,December,1171,12,22-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
744,23,December,1171,12,23-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
745,24,December,1171,12,24-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
746,25,December,1171,12,25-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
747,26,December,1171,12,26-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
748,27,December,1171,12,27-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
749,28,December,1171,12,28-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
750,29,December,1171,12,29-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
751,30,December,1171,12,30-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
752,31,December,1171,12,31-12-1171,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
753,1,January,1172,1,1-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
754,2,January,1172,1,2-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
755,3,January,1172,1,3-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
756,4,January,1172,1,4-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
757,5,January,1172,1,5-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
758,6,January,1172,1,6-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
759,7,January,1172,1,7-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
760,8,January,1172,1,8-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
761,9,January,1172,1,9-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
762,10,January,1172,1,10-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
763,11,January,1172,1,11-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
764,12,January,1172,1,12-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
765,13,January,1172,1,13-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
766,14,January,1172,1,14-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
767,15,January,1172,1,15-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
768,16,January,1172,1,16-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
769,17,January,1172,1,17-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
770,18,January,1172,1,18-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
771,19,January,1172,1,19-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
772,20,January,1172,1,20-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
773,21,January,1172,1,21-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
774,22,January,1172,1,22-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
775,23,January,1172,1,23-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
776,24,January,1172,1,24-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
777,25,January,1172,1,25-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
778,26,January,1172,1,26-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
779,27,January,1172,1,27-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
780,28,January,1172,1,28-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
781,29,January,1172,1,29-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
782,30,January,1172,1,30-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
783,31,January,1172,1,31-1-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
784,1,February,1172,2,1-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
785,2,February,1172,2,2-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
786,3,February,1172,2,3-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
787,4,February,1172,2,4-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
788,5,February,1172,2,5-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
789,6,February,1172,2,6-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
790,7,February,1172,2,7-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
791,8,February,1172,2,8-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
792,9,February,1172,2,9-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
793,10,February,1172,2,10-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
794,11,February,1172,2,11-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
795,12,February,1172,2,12-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
796,13,February,1172,2,13-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
797,14,February,1172,2,14-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
798,15,February,1172,2,15-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
799,16,February,1172,2,16-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
800,17,February,1172,2,17-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
801,18,February,1172,2,18-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
802,19,February,1172,2,19-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
803,20,February,1172,2,20-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
804,21,February,1172,2,21-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
805,22,February,1172,2,22-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
806,23,February,1172,2,23-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
807,24,February,1172,2,24-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
808,25,February,1172,2,25-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
809,26,February,1172,2,26-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
810,27,February,1172,2,27-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
811,28,February,1172,2,28-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
812,29,February,1172,2,29-2-1172,Dublin,SG1614892169,53.35,-6.266667,Republic of Ireland,N/A
813,1,March,1172,3,1-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
814,2,March,1172,3,2-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
815,3,March,1172,3,3-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
816,4,March,1172,3,4-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
817,5,March,1172,3,5-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
818,6,March,1172,3,6-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
819,7,March,1172,3,7-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
820,8,March,1172,3,8-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
821,9,March,1172,3,9-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
822,10,March,1172,3,10-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
823,11,March,1172,3,11-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
824,12,March,1172,3,12-3-1172,Wexford,SL9644080039,52.3342,-6.4575,Republic of Ireland,N/A
